hotel,Price,rating,reviews,loc
Intour Qurtoba,SAR290 ,7.2,"1,002 reviews",13.5 km from center
,,,,
Rafa Homes Al Izdihar 1,SAR402 ,8,266 reviews,10 km from center
,,,,
Aber Al Munsiyah,SAR350 ,7.8,"1,224 reviews",19.9 km from center
,,,,
ElAF ALHAMRA,SAR180 ,6.2,80 reviews,11.8 km from center
,,,,
Manazel Maali Suites,SAR200 ,7.2,166 reviews,12.3 km from center
,,,,
Holiday Plus Cordoba,SAR213 ,7.5,509 reviews,14.6 km from center
,,,,
Al Muhaidb Al Malaz - Al Jamiah,SAR245 ,7.4,760 reviews,6.1 km from center
,,,,
Ewaa Express Hotel-Al Olaya,SAR300 ,6.8,"1,181 reviews",0.5 km from center
,,,,
سمو 2,SAR200 ,6.5,125 reviews,8.7 km from center
,,,,
فندق دولف الرياض Doolv hotel,SAR299 ,7.4,56 reviews,13.1 km from center
,,,,
الفرحان قرطبه,SAR446 ,7.5,482 reviews,14.9 km from center
,,,,
Al Muhaidb Jarir - Al Malaz,SAR340 ,7.9,473 reviews,6.3 km from center
,,,,
Malfakum Apartment Hotel,SAR350 ,8.8,764 reviews,16 km from center
,,,,
Dana Hotel & Residences,SAR450 ,,,16.6 km from center
,,,,
سمو 2,SAR200 ,6.5,125 reviews,8.7 km from center
,,,,
فندق دولف الرياض Doolv hotel,SAR299 ,7.4,56 reviews,13.1 km from center
,,,,
الفرحان قرطبه,SAR446 ,7.5,482 reviews,14.9 km from center
,,,,
Al Muhaidb Jarir - Al Malaz,SAR340 ,7.7,561 reviews,6.3 km from center
,,,,
Hayat Rose Hotel Apartments,SAR398 ,7.9,473 reviews,9.2 km from center
,,,,
Malfakum Apartment Hotel,SAR350 ,8.8,764 reviews,16 km from center
,,,,
Dana Hotel & Residences,SAR450 ,6.3,201 reviews,16.6 km from center
,,,,
قصر اليمامة للاجنحة الفندقية-فرع الحزم,SAR266 ,8.1,"3,843 reviews",17.6 km from center
,,,,
Ayan furnished units and Suites,SAR577 ,9.3,213 reviews,12.4 km from center
,,,,
Makarem Hotel Apartments,SAR400 ,6.8,"1,376 reviews",15.1 km from center
,,,,
Hyatt Buyutat,SAR410 ,6.1,230 reviews,2.6 km from center
,,,,
,,,,
,,,,
فلل لاكاسا الفندقية,"SAR4,976 ",4.8,71 reviews,6.5 km from center
,,,,
بي تو للوحدات الفندقية,SAR250 ,7.4,177 reviews,9 km from center
,,,,
towlan qurtaba,SAR240 ,8.2,347 reviews,14.3 km from center
,,,,
Manazilna Apartments Riyadh منازلنا للشقق المفروشة للمحصنين فقط,SAR240 ,9.7,181 reviews,9.4 km from center
,,,,
hosta hotel suites,SAR450 ,7.6,406 reviews,13.5 km from center
,,,,
Ashbonh Hotel Suites,SAR333 ,9,231 reviews,2.3 km from center
,,,,
Golden Tulip Riyadh,SAR550 ,7.3,210 reviews,12.2 km from center
,,,,
دار الشرق للوحدات السكنية المفروشة,SAR250 ,6.9,190 reviews,18.2 km from center
,,,,
تالـيـن غرناطه للاجنحة الفندقية,SAR280 ,7.1,"3,297 reviews",12.5 km from center
,,,,
Rose Garden Hotel,SAR264 ,5.3,601 reviews,4 km from center
,,,,
Al Eairy Apartments- Riyadh 3,SAR105 ,8.2,327 reviews,16 km from center
,,,,
Sweet Homes,SAR300 ,7.2,"1,061 reviews",14.5 km from center
,,,,
Boudl Al Malaz,SAR316 ,7.5,101 reviews,5.6 km from center
,,,,
قصر الحمراء للأجنحة الفندقية,SAR190 ,8.4,"1,368 reviews",4.4 km from center
,,,,
Nelover Hotel Ar Rawdah,SAR482 ,,,9.3 km from center
,,,,
Boudl Al Sahafa,SAR455 ,8.2,999 reviews,13.3 km from center
,,,,
Sixty Three Hotel Suites,SAR270 ,7.2,68 reviews,2.1 km from center
,,,,
Intour Qurtoba,SAR290 ,7.2,"1,002 reviews",13.5 km from center
,,,,
Al Muhaidb Al Narges,SAR300 ,7.2,966 reviews,14.6 km from center
,,,,
Unique Suites,SAR382 ,8.3,338 reviews,5.6 km from center
,,,,
Boudl Al Wadi,SAR420 ,7.9,446 reviews,11.1 km from center
,,,,
Rayatna for Furnished Apartments 2,SAR400 ,7.1,281 reviews,11.3 km from center
,,,,
Hotelier Al Sulaymaniyh,SAR210 ,6.8,252 reviews,2.6 km from center
,,,,
Cristal Amaken Hotel Riyadh,SAR800 ,8.3,349 reviews,26.3 km from center
,,,,
,,,,
,,,,
Boudl Al Munsiyah,SAR395 ,7.7,"2,711 reviews",20 km from center
,,,,
ال متعب سويتس الإزدهار,SAR509 ,7.6,347 reviews,9.6 km from center
,,,,
Royal Suites,SAR450 ,7.5,144 reviews,550 m from center
,,,,
Elite Furnished Units,SAR210 ,8.2,104 reviews,16.9 km from center
,,,,
Aber Al Munsiyah,SAR350 ,7.8,"1,224 reviews",19.9 km from center
,,,,
Bait Al Amani Suites,SAR170 ,6.1,230 reviews,2.8 km from center
,,,,
Nasima Hotel Apartements,SAR450 ,8.2,388 reviews,15 km from center
,,,,
Rafa,SAR414 ,7.2,901 reviews,12 km from center
,,,,
,,,,
,,,,
قصر الحمراء للأجنحة الفندقية,SAR190 ,7.5,101 reviews,4.4 km from center
,,,,
towlan qurtaba,SAR240 ,7.4,177 reviews,14.3 km from center
,,,,
Mena Andalusia Riyadh,SAR248 ,7.1,"3,381 reviews",1.8 km from center
,,,,
Al Eairy Apartments Al Riyad 5,SAR90 ,4.7,190 reviews,10.4 km from center
,,,,
Clemence Suites,SAR395 ,8.6,527 reviews,8.4 km from center
,,,,
شاليهات المقصد Al Maqsd Chalets,"SAR1,104 ",7.2,53 reviews,19.2 km from center
,,,,
Arto Aparthotel,SAR373 ,8.6,773 reviews,12.2 km from center
,,,,
Le Park Concord Rabwah Boutique Hotel,SAR315 ,7.7,211 reviews,8.9 km from center
,,,,
Dabab Hotel By Warwick,SAR329 ,7.4,"2,802 reviews",2.8 km from center
,,,,
APOLLO DIMORA THE BUSINESS HOTEL,SAR285 ,6.8,360 reviews,7 km from center
,,,,
Hodooa Al Masaken,SAR120 ,6.5,334 reviews,15.1 km from center
,,,,
Royal Suites,SAR450 ,7.5,144 reviews,550 m from center
,,,,
Unique Suites,SAR382 ,8.3,338 reviews,5.6 km from center
,,,,
Sama Al Qasr Al Muhammadiah,SAR250 ,7.2,362 reviews,6 km from center
,,,,
Boudl Khurais,SAR240 ,5.8,263 reviews,2.1 km from center
,,,,
Hodooa Al Masaken 4,SAR150 ,6.4,245 reviews,17 km from center
,,,,
Madareem Crown Hotel,SAR642 ,7.2,652 reviews,12.2 km from center
,,,,
El Tawfiq Furnished Suites Malaz,SAR222 ,6.8,166 reviews,4 km from center
,,,,
Samaya Suites,SAR360 ,8.1,262 reviews,9.2 km from center
,,,,
قصر نافا للوحدات السكنية اليرموك,SAR289 ,7.8,92 reviews,16.1 km from center
,,,,
Boudl Al Sahafa,SAR455 ,8.2,999 reviews,13.3 km from center
,,,,
Almakan Hotel 107,SAR540 ,6.1,741 reviews,12.6 km from center
,,,,
ليلة مبيت للوحدات السكنية,SAR240 ,7.8,10 reviews,4.6 km from center
,,,,
Narcissus Riyadh Hotel & Spa,"SAR1,000 ",8.6,"3,480 reviews",350 m from center
,,,,
Ruoof Furnished Units Apartment,SAR250 ,7.3,193 reviews,14.1 km from center
,,,,
East Rodina Furnished Residential Units,SAR187 ,6.9,76 reviews,14.5 km from center
,,,,
Dorar Darea Hotel Apartments - Al Mughrizat,SAR270 ,6.4,191 reviews,9 km from center
,,,,
Beautiful Moment Furnished Apartments,SAR450 ,8.1,494 reviews,16.6 km from center
,,,,
Mandarin Hotel Apartments,SAR475 ,8.7,427 reviews,6.5 km from center
,,,,
Sixty Three Hotel Suites,SAR270 ,7.2,68 reviews,2.1 km from center
,,,,
Duset Hotel Suites,SAR500 ,8.5,"1,772 reviews",7.2 km from center
,,,,
Tobal Al Malaz ApartHotel,SAR255 ,6.9,179 reviews,4 km from center
,,,,
Elite Furnished Units,SAR210 ,8.2,104 reviews,16.9 km from center
,,,,
تالين الرياض للوحدات السكنية,SAR201 ,7.6,122 reviews,14.3 km from center
,,,,
Al Muhaidb Al Nadwa,SAR300 ,7.8,586 reviews,21.8 km from center
,,,,
ال متعب سويتس طريق الدمام,SAR280 ,5.9,143 reviews,15.6 km from center
,,,,
"Radisson Blu Hotel & Residence, Riyadh Diplomatic Quarter","SAR1,301 ",8.5,721 reviews,5.7 km from center
,,,,
,,,,
,,,,
فندق دولف الرياض شارع العمرة Doolv hotel,SAR380 ,7,378 reviews,12.6 km from center
,,,,
Clemence Suites,SAR395 ,8.6,527 reviews,8.4 km from center
,,,,
modern apartment,SAR560 ,6.8,252 reviews,15.8 km from center
,,,,
Hotelier Al Sulaymaniyh,SAR210 ,6.3,412 reviews,2.6 km from center
,,,,
Hodooa Al Masaken 3,SAR150 ,7.6,663 reviews,15.6 km from center
,,,,
Al Muhaidb Residence Salahuddin,SAR700 ,8.3,349 reviews,5.2 km from center
,,,,
Cristal Amaken Hotel Riyadh,SAR800 ,7.9,"1,840 reviews",26.3 km from center
,,,,
Quetzal Aparthotel,SAR540 ,7.5,"1,020 reviews",11.6 km from center
,,,,
Dorar Darea Hotel Apartments - Al Nafl,SAR291.93 ,8.8,75 reviews,9.5 km from center
,,,,
Aseel Alsharq Hotel أصيل الشرق للوحدات السكنية,SAR278 ,5.6,115 reviews,17.9 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
Ronza Land Aparthotel,SAR349 ,7.4,347 reviews,7.7 km from center
,,,,
Revan Palace,SAR450 ,5.3,362 reviews,17.7 km from center
,,,,
مرسال سويت,SAR269 ,8.6,"1,499 reviews",6.3 km from center
,,,,
,,,,
,,,,
Qasr Alhanen Furnished Apartments,SAR280 ,8.4,45 reviews,14.6 km from center
,,,,
Al Bateel Furnished Apartments,SAR295 ,6,101 reviews,17.9 km from center
,,,,
Dari Wa Darak Furnished Units - Al Shifa,SAR185 ,6.8,58 reviews,16.3 km from center
,,,,
غالينا للشقق المفروشة,SAR214 ,7.6,347 reviews,12.5 km from center
,,,,
ال متعب سويتس الإزدهار,SAR509 ,7.9,69 reviews,9.6 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
Rest Time Golden Hotel,SAR290 ,,,9.2 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
ال متعب سويتس المؤنسية,SAR350 ,7.3,64 reviews,16.2 km from center
,,,,
Quetzal Aparthotel,SAR540 ,7.9,"1,840 reviews",11.6 km from center
,,,,
Burj Al Hayat Furnished suites-Al Mallaz,SAR300 ,6.5,79 reviews,5.9 km from center
,,,,
All Days ِApartHotel,SAR230 ,7.7,151 reviews,4.1 km from center
,,,,
Al Massa Hotel Olaya,SAR360 ,6.9,157 reviews,500 m from center
,,,,
دانة الخليج Danat Al Khaleej Hotel,SAR540 ,8.4,462 reviews,17.6 km from center
,,,,
غرناطة بالاس للشقق المفروشه - Granada Palace furnished apartments,SAR380 ,7.6,408 reviews,11.8 km from center
,,,,
Janat Al Areef ApartHotel,SAR525 ,7.9,161 reviews,12.2 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Rayatna for Furnished Apartments 2,SAR400 ,7.1,281 reviews,11.3 km from center
,,,,
,,,,
,,,,
Danah Aparthotel,SAR500 ,7.4,106 reviews,16.3 km from center
,,,,
Nawara Sulimania Askary,SAR210 ,6.9,70 reviews,3.6 km from center
,,,,
Elite of Elite Hotel Apartments,SAR365 ,7.6,229 reviews,10.7 km from center
,,,,
Bzul Furnished Units,SAR299 ,8.1,61 reviews,14.1 km from center
,,,,
,,,,
,,,,
Meda Furnished Apartments,SAR350 ,8.2,253 reviews,15 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
شقق ايجار شهري الرياض,SAR399 ,5.4,612 reviews,15.5 km from center
,,,,
Al Rafahya Crown,SAR250 ,7.1,74 reviews,17.8 km from center
,,,,
Mabaat - Al Malqa - 244,SAR800 ,5.2,515 reviews,13.8 km from center
,,,,
,,,,
,,,,
Darina Furnished Apartments,SAR810 ,7.8,87 reviews,15 km from center
,,,,
Al Eairy Apartment-Riyadh 6,SAR95 ,7.3,64 reviews,10.3 km from center
,,,,
لاكازا للشقق الفندقية - La Casa Apartments,SAR217 ,7.2,554 reviews,19.4 km from center
,,,,
Topaz Furnished Apartments,SAR500 ,6.3,412 reviews,11.1 km from center
,,,,
,,,,
,,,,
صبا للشقق الفندقيه,SAR249 ,6.5,79 reviews,5.7 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
Mabaat - Al Nada - 250,"SAR1,000 ",6.9,132 reviews,12.2 km from center
,,,,
Burj Al Hayat Furnished suites-Al Mallaz,SAR300 ,6.9,157 reviews,5.9 km from center
,,,,
Mabaat - Al Izdihar - 400,"SAR1,000 ",8.8,159 reviews,9.9 km from center
,,,,
,,,,
,,,,
شقة في الماجدية وقريبه من البوليفارد دخول ذاتي,"SAR2,000 ",7.8,302 reviews,9.9 km from center
,,,,
Flora Hotel Suites,SAR280 ,7.3,198 reviews,9.8 km from center
,,,,
Al Massa Hotel Olaya,SAR360 ,6.9,179 reviews,0.5 km from center
,,,,
Goot Resorts,"SAR2,380 ",8.2,323 reviews,18.7 km from center
,,,,
Ronza Land Aparthotel,SAR349 ,,,7.7 km from center
,,,,
منتجع نبراس واتر بارك,"SAR1,900 ",,,17.3 km from center
,,,,
Grand Plaza - Qurtubah,SAR451 ,,,14.7 km from center
,,,,
Asfar Plaza Hotel & Apartments,SAR249 ,,,13 km from center
,,,,
Tobal Al Malaz ApartHotel,SAR255 ,,,4 km from center
,,,,
Thwary Hotel Suites,"SAR1,550 ",,,15 km from center
,,,,
B1 Ghadeer VIP Golden,SAR791 ,6.9,769 reviews,8.6 km from center
,,,,
Mabaat - Al Nada - 250,"SAR1,000 ",8.7,170 reviews,12.2 km from center
,,,,
,,,,
,,,,
Mabaat - Al Yasmin - 355,"SAR1,000 ",7.7,"1,347 reviews",15.8 km from center
,,,,
,,,,
,,,,
Aspar Resorts,"SAR1,080 ",7.1,74 reviews,22.8 km from center
,,,,
,,,,
,,,,
حياة مودرن الفندقيةHayat Modren,"SAR1,126 ",7.3,198 reviews,19.7 km from center
,,,,
The Elite Apartment,"SAR1,200 ",7.1,450 reviews,17.1 km from center
,,,,
منتجع نبراس واتر بارك,"SAR1,900 ",7.9,83 reviews,17.3 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
Ktol,"SAR1,400 ",6.3,156 reviews,9.8 km from center
,,,,
Darina Furnished Apartments,SAR810 ,5.2,168 reviews,15 km from center
,,,,
Palami Farm - مزرعة بلامي,"SAR1,350 ",9.7,693 reviews,50.1 km from center
,,,,
شقة في الماجدية وقريبه من البوليفارد دخول ذاتي,"SAR2,000 ",7.7,232 reviews,9.9 km from center
,,,,
,,,,
,,,,
Viola Gardens,SAR236 ,7.9,221 reviews,12.3 km from center
,,,,
Nawara Furnished Units - ALAziziyah,SAR250 ,,,14.5 km from center
,,,,
مساكن المعمورة,SAR200 ,,,18.6 km from center
,,,,
Khayal Hotel Apartments,SAR230 ,,,23.6 km from center
,,,,
Hodo Al Masaken 2,SAR150 ,,,15.1 km from center
,,,,
Rokn Alyaqut Furnished Apartments,SAR550 ,,,17.2 km from center
,,,,
Dar Hashim Hotel Suites - Alnuzha,SAR550 ,,,7.3 km from center
,,,,
Aral Suites,SAR350 ,,,14.5 km from center
,,,,
فندق رايتنا العز,SAR250 ,,,12.2 km from center
,,,,
ال متعب سويتس اليرموك,SAR383 ,,,15.8 km from center
,,,,
,,,,
,,,,
Chalet Maria Al Ryiad,SAR420 ,6.2,57 reviews,24.7 km from center
,,,,
السعادة,SAR563 ,6.9,769 reviews,13.3 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Fully Furnished Private Luxury Villa ڤيلا مؤثثة الخاصة المميزة,"SAR3,000 ",7.7,"1,347 reviews",2.7 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
شالية فهد,"SAR1,100 ",7.4,109 reviews,15.8 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
Mabaat - Al Olaya - 614,"SAR2,000 ",,,1.1 km from center
,,,,
شقق قمة الرفاء للوحدات السكنيه,SAR153 ,,,12.6 km from center
,,,,
شقة فاخره في برج رافال,"SAR3,000 ",,,11.9 km from center
,,,,
برج داماك الرياض / Damac Esclusiva,SAR600 ,,,6.1 km from center
,,,,
Dara Al Rayan,SAR411 ,,,10.1 km from center
,,,,
Mabaat - Al Qairawan - Signature - 624,"SAR1,100 ",,,16.5 km from center
,,,,
Twlan,SAR399 ,,,18.3 km from center
,,,,
Divon Chalet,SAR800 ,,,13.8 km from center
,,,,
Mabaat - Al Aqiq - 559,SAR600 ,,,9.8 km from center
,,,,
Nawal Resort,SAR980 ,,,15.4 km from center
,,,,
Sweet Homes,SAR300 ,8.2,327 reviews,14.5 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
Mabaat Homes - Al Malqa - Luxury Apartment,"SAR1,000 ",6.4,191 reviews,14.9 km from center
,,,,
,,,,
,,,,
شاليه,"SAR1,500 ",7.9,229 reviews,26.1 km from center
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
شاليهات صدف,SAR700 ,,,19 km from center
,,,,
مخيم روح القصيد,"SAR1,200 ",,,51.6 km from center
,,,,
شقة للإيجار في برج رافال,"SAR1,530 ",,,11.8 km from center
,,,,
منتجع بانسيه,"SAR9,700 ",,,28.1 km from center
,,,,
modern apartment,SAR560 ,,,15.8 km from center
,,,,
شانتال Chantal,"SAR3,000 ",,,18.6 km from center
,,,,
Mabaat - Al Qairawan - 176,SAR900 ,,,18.5 km from center
,,,,
Ajuwan Resort,"SAR15,000 ",,,35 km from center
,,,,
شقة الأمل,"SAR1,150 ",,,16.9 km from center
,,,,
شاليه حنين,"SAR2,000 ",,,16 km from center
,,,,
فلل لاكاسا الفندقية,"SAR4,976 ",,,6.5 km from center
,,,,
Vivienda Hotel Villas Granada,"SAR4,000 ",,,11.3 km from center
,,,,
قاعات مناسبات وسم,"SAR1,600 ",,,26.7 km from center
,,,,
Fully Furnished Private Luxury Villa ڤيلا مؤثثة الخاصة المميزة,"SAR3,000 ",,,2.7 km from center
,,,,
Mabaat - Al Olaya - 614,"SAR2,000 ",,,1.1 km from center
,,,,
شالية فهد,"SAR1,100 ",7.4,"2,158 reviews",15.8 km from center
,,,,
,,,,
,,,,
شقة الماجدية,"SAR2,500 ",,,16 km from center
,,,,
Rest Night Hotel Suites- - AL Nafal,SAR250 ,,,9.8 km from center
,,,,
منتجع نزل الدرعية,"SAR7,000 ",,,16.2 km from center
,,,,
شقة فاخره في برج رافال,"SAR3,000 ",,,11.9 km from center
,,,,
ال متعب سويتس الياسمين,SAR700 ,,,15.1 km from center